"DateTime","Pre Open BELEQN","BELEQN"
"2026-04-20 10:35:59",,461.65
"2026-04-20 10:36:52",,461.45
"2026-04-20 10:37:59",,461.65
"2026-04-20 10:38:59",,461.4
"2026-04-20 10:39:59",,461.9
"2026-04-20 10:40:59",,462.35
"2026-04-20 10:41:58",,462.3
"2026-04-20 10:42:59",,462.05
"2026-04-20 10:43:55",,462.3
"2026-04-20 10:44:57",,462.2
"2026-04-20 10:45:59",,462.05
"2026-04-20 10:46:57",,461.9
"2026-04-20 10:47:57",,462.5
"2026-04-20 10:48:59",,462.2
"2026-04-20 10:49:59",,462.45
"2026-04-20 10:50:57",,462.4
"2026-04-20 10:51:55",,462.25
"2026-04-20 10:52:58",,462.15
"2026-04-20 10:53:56",,462.15
"2026-04-20 10:54:56",,462.2
"2026-04-20 10:55:45",,462.05
"2026-04-20 10:56:55",,461.7
"2026-04-20 10:57:59",,461.75
"2026-04-20 10:58:56",,461.9
"2026-04-20 10:59:56",,461.8
"2026-04-20 11:00:56",,461.6
"2026-04-20 11:01:56",,461.4
"2026-04-20 11:02:57",,461.35
"2026-04-20 11:03:59",,461.3
"2026-04-20 11:04:59",,461.7
"2026-04-20 11:05:57",,461.75
"2026-04-20 11:06:55",,461.6
"2026-04-20 11:07:52",,461.6
"2026-04-20 11:08:54",,461.65
"2026-04-20 11:09:57",,461.65
"2026-04-20 11:10:55",,461.55
"2026-04-20 11:11:59",,461.65
"2026-04-20 11:12:58",,461.75
"2026-04-20 11:13:58",,461.7
"2026-04-20 11:14:51",,461.55
"2026-04-20 11:15:56",,461.55
"2026-04-20 11:16:56",,461.7
"2026-04-20 11:17:59",,461.4
"2026-04-20 11:18:57",,461.65
"2026-04-20 11:19:50",,461.5
"2026-04-20 11:20:55",,461.5
"2026-04-20 11:21:56",,461.9
"2026-04-20 11:22:55",,461.85
"2026-04-20 11:23:59",,462.2
"2026-04-20 11:24:59",,462.35
"2026-04-20 11:25:58",,462.35
"2026-04-20 11:26:50",,462.25
"2026-04-20 11:27:57",,462.4
"2026-04-20 11:28:57",,462.4
"2026-04-20 11:29:58",,462.6
"2026-04-20 11:30:59",,462.5
"2026-04-20 11:31:59",,462.35
"2026-04-20 11:32:59",,462.6
"2026-04-20 11:33:59",,462.6
"2026-04-20 11:34:57",,462.45
"2026-04-20 11:35:56",,462.35
"2026-04-20 11:36:55",,462.4
"2026-04-20 11:37:55",,462.25
"2026-04-20 11:38:59",,462.3
